thread_id,predicted_intent,predicted_reply
thread_1399441,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_998783,Account & Login,I’m sorry you’re having trouble accessing your account. Please use the account-help options in the Uber app so the support team can safely review it.
thread_305336,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2107513,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_433700,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_973160,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1445631,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1048197,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_356154,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1703153,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2637022,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_384104,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2730523,Lost & Found,I’m sorry you are missing an item. Please use the trip in the Uber app to start the lost-item process and contact the driver safely.
thread_1231012,Account & Login,I’m sorry you’re having trouble accessing your account. Please use the account-help options in the Uber app so the support team can safely review it.
thread_859680,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2827699,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_796461,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1392485,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_562395,Account & Login,I’m sorry you’re having trouble accessing your account. Please use the account-help options in the Uber app so the support team can safely review it.
thread_1234810,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_889605,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_601789,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2891182,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1633284,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_904735,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_2782113,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_1467468,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_2806743,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_2798522,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2379053,Account & Login,I’m sorry you’re having trouble accessing your account. Please use the account-help options in the Uber app so the support team can safely review it.
thread_270406,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_1428654,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_2112993,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_2954602,Fare & Pricing Issue,I’m sorry the fare or pricing was unexpected. Please review the trip receipt in the Uber app and contact support from that trip if you need help.
thread_2976083,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_1778321,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_2057316,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2294391,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1815312,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1626295,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_1404914,Lost & Found,I’m sorry you are missing an item. Please use the trip in the Uber app to start the lost-item process and contact the driver safely.
thread_1821916,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_1833563,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2071675,Driver Issue,I’m sorry about your experience with the driver. Please use the trip in the Uber app to share the details so the support team can review it.
thread_663963,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_952636,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_441669,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_572012,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_2794435,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2816686,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2171780,Account & Login,I’m sorry you’re having trouble accessing your account. Please use the account-help options in the Uber app so the support team can safely review it.
thread_2933982,Ride & Pickup Issue,I’m sorry there was a problem with the ride or pickup. Please review the trip in the Uber app and contact support from it with the relevant details.
thread_2538520,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_2460069,Driver Issue,I’m sorry about your experience with the driver. Please use the trip in the Uber app to share the details so the support team can review it.
thread_2727142,Lost & Found,I’m sorry you are missing an item. Please use the trip in the Uber app to start the lost-item process and contact the driver safely.
thread_2882279,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_2920570,Ride & Pickup Issue,I’m sorry there was a problem with the ride or pickup. Please review the trip in the Uber app and contact support from it with the relevant details.
thread_2177615,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_2984666,Lost & Found,I’m sorry you are missing an item. Please use the trip in the Uber app to start the lost-item process and contact the driver safely.
thread_2479164,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_2388092,UberEATS Order Issue,I’m sorry there was an issue with your Uber Eats order. Please open the order in the app and use Help to report the problem.
thread_2609401,Lost & Found,I’m sorry you are missing an item. Please use the trip in the Uber app to start the lost-item process and contact the driver safely.
thread_2487367,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_2344050,Account & Login,I’m sorry you’re having trouble accessing your account. Please use the account-help options in the Uber app so the support team can safely review it.
thread_443131,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2194049,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_583010,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_454650,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
thread_2823454,Fare & Pricing Issue,I’m sorry the fare or pricing was unexpected. Please review the trip receipt in the Uber app and contact support from that trip if you need help.
thread_1362014,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_1965700,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_55980,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_2642829,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_954951,Payment & Charges,"I’m sorry about the charge. Please review the trip receipt and payment method in the Uber app, then contact support from the trip for account-specific help."
thread_1209936,Unmatched,I’m sorry you’re having trouble. A support specialist will review your message and help with the next step.
thread_436527,App & Technical Issue,"I’m sorry the app is not working as expected. Please update the app and try again; if the problem continues, contact in-app support with the error details."
