thread_id,turn_order,role,text,created_at
thread_1000541,1,customer,I need someone from @115873 to contact me.,Sat Oct 14 13:13:49 +0000 2017
thread_1000541,2,brand,@356871 So sorry for the trouble! Please send us a note at https://t.co/1xM0TILvAI so our team can connect.,Sat Oct 14 13:18:08 +0000 2017
thread_100079,1,customer,@4377 ordered first time and perhaps the last time too. Worst service. Long delivery time. @Uber_Support also of no use.,Thu Nov 30 17:04:23 +0000 2017
thread_100079,2,brand,"@137924 Hi, Ankush! For more info, visit; https://t.co/OfU5UzgGiI.",Thu Nov 30 17:12:05 +0000 2017
thread_1003005,1,customer,@115873 We got charged incorrectly for trips we didn’t take and others that were cancelled by drivers 4 times in one night. 🤔 https://t.co/AvUu40LQeL,Sun Oct 22 15:09:04 +0000 2017
thread_1003005,2,brand,@357423 Sorry to hear that! Please send us a note here: https://t.co/QsI1vsvcif we'll be happy to look into this for you.,Sun Oct 22 15:09:54 +0000 2017
thread_1005296,1,customer,@115873 is overrated. Ordered a cab and it takes half an hour to come because hes dropping somebody off first! I didnt want to make kick off anyway you bellends!,Sat Nov 25 17:13:29 +0000 2017
thread_1005296,2,brand,@357947 Sorry to hear that. Kindly send us a note here; https://t.co/e8HVorX5rh and our team will get in touch.,Sat Nov 25 17:15:46 +0000 2017
thread_1005320,1,customer,"please make a easy customer care for rider 
You dont know some time rider faced a very bad situation  @115873... https://t.co/yAzHLOjIFV",Sat Nov 25 16:58:31 +0000 2017
thread_1005320,2,brand,@342694 We're currently reviewing your email and will connect shortly. Thanks!,Sat Nov 25 17:04:39 +0000 2017
thread_1007872,1,customer,Hey @115873  @Uber_Support wtf. The math doesn't add up here. Can you fix this? https://t.co/JZEywzBOzp,Sat Oct 14 09:57:43 +0000 2017
thread_1007872,2,brand,@358497 We've followed up via in-app support.,Sat Oct 14 13:47:19 +0000 2017
thread_1009184,1,customer,just woke up and @115873 again charged me another duplicate charge. THATS THREE DUPLICATE CHARGES !! Never using them again.,Sat Oct 14 11:49:24 +0000 2017
thread_1009184,2,brand,@354999 Please send us a DM with your Uber account email address so we can follow up. https://t.co/sd7yH5jmbJ,Sat Oct 14 14:02:36 +0000 2017
thread_1009337,1,customer,.@115873 driver just started the ride and I am not even in the car. #wtf,Sun Oct 22 20:32:06 +0000 2017
thread_1009337,2,brand,@358833 Here to help! Send us a note via https://t.co/bGbBMJqMgN so we can help.,Sun Oct 22 20:34:29 +0000 2017
thread_1010581,1,customer,@Uber_Support I would like a list of my past 3 months ride in excel sheet. Could you guys provide that please. Or let me know how to reach u,Sat Oct 14 12:19:09 +0000 2017
thread_1010581,2,brand,"@359134 Happy to assist, Puneet! You can get trip receipts by going here: https://t.co/A57VTLKukp. Hope this helps.",Sat Oct 14 14:21:54 +0000 2017
thread_1011534,1,customer,So @115873 apparently charged me twice last night for 1 ride. Never using this service again.,Sun Oct 22 21:16:03 +0000 2017
thread_1011534,2,brand,@359335 We can definitely take a look. Send us note here; https://t.co/DceIRNI6kV so our team can assist you.,Sun Oct 22 21:24:35 +0000 2017
thread_1012371,1,customer,"@115877 hi, just placed an order and due to network unable to call delivery person can u help me??",Sun Oct 22 13:05:40 +0000 2017
thread_1012371,2,brand,"@359552 We're happy to connect, Akash! Feel free to DM us the email address on your account and we'll be in touch momentarily.",Sun Oct 22 18:12:41 +0000 2017
thread_1013156,1,customer,@Uber_Support how can I login https://t.co/2TZsjd60kR,Sat Oct 14 14:45:22 +0000 2017
thread_1013156,2,brand,"@359739 Here to help! For more info, please check this link; https://t.co/S1D4kgPTfO. Thanks!",Sat Oct 14 14:51:52 +0000 2017
thread_1013156,3,customer,@Uber_Support But I already have an account I just wanna login,Sat Oct 14 14:53:11 +0000 2017
thread_1013156,4,brand,@359739 Let's take a closer look - DM us the email and phone number attached to your profile so we can assist you further.,Sat Oct 14 16:38:23 +0000 2017
thread_1013247,1,customer,You know how @115873 charges you if you cancel a ride. They should do the same to their drivers. This is ridiculous. Every single ride.,Thu Oct 12 12:50:36 +0000 2017
thread_1013247,2,brand,@359763 We're here to help! Send us a DM with your email address so we can assist.,Thu Oct 12 12:52:58 +0000 2017
thread_1019424,1,customer,"@Uber_Support Hi, I saw you guys refunded me for two trips, but I don't know why I was charged for the trips anyway. Can you help?",Sun Oct 22 18:22:00 +0000 2017
thread_1019424,2,brand,"@361214 Hi, Anne. We see your DM and will follow up there shortly!",Sun Oct 22 22:23:04 +0000 2017
thread_1019796,1,customer,@Uber_Support why my uber driver cant not see in passanger application my email __email__,Sat Oct 14 16:04:57 +0000 2017
thread_1019796,2,brand,@361294 Happy to follow up. Send us a note at https://t.co/40YG33Irp4 so our team can connect.,Sat Oct 14 16:10:27 +0000 2017
thread_1021086,1,customer,@115873 fuck your shit service,Sun Oct 22 22:49:44 +0000 2017
thread_1021086,2,brand,@361631 We're here to help! Send us a DM with your email address and more details so we can follow up.,Sun Oct 22 22:50:53 +0000 2017
thread_1021086,3,customer,@Uber_Support __email__ figure out picking people up from a stadium and give me my 5$ back,Sun Oct 22 23:00:07 +0000 2017
thread_1021086,4,customer,@Uber_Support Yeah I canceled a 20 minute wait. I should have to pay $5 for that,Sun Oct 22 23:00:35 +0000 2017
thread_1021086,5,customer,@Uber_Support @115873 it's not like I was late to the destination. Your company was. The late party should be charged.,Sun Oct 22 23:01:18 +0000 2017
thread_102150,1,customer,@Uber_Support @AskLyft @138397 your “partner” is hanging out on 8th street protected bike lane. Please tell him that’s illegal. https://t.co/dAAaxKM1Wk,Thu Nov 30 17:33:40 +0000 2017
thread_102150,2,brand,@138396 Happy to take a look. Send us a DM (Direct Message) with your email address so we can connect.,Thu Nov 30 17:40:09 +0000 2017
thread_1021721,1,customer,Yo @115873 can man record a complaint ??????,Sun Oct 22 22:58:55 +0000 2017
thread_1021721,2,brand,@361791 We're here to help! Send us a DM with your email address and more details so we can follow up.,Sun Oct 22 22:59:48 +0000 2017
thread_1021721,3,customer,@Uber_Support Imagine uber app said the driver was deaf but he wasnt and man said so many secrets and was singing loud as well. I am sooooooo embarrassed,Sun Oct 22 23:01:53 +0000 2017
thread_1021721,4,brand,@361791 Send us a DM with your email address and more details about the complaint so we can assist further.,Mon Oct 23 05:05:24 +0000 2017
thread_1023943,1,customer,@Uber_Support i wanted to know i go to orlando on 10 days i live in holland but can you pay in cash too?,Thu Oct 12 12:40:27 +0000 2017
thread_1023943,2,brand,@362315 Hey Kim! Please visit the link for more info on cash payments. https://t.co/1YRY5rYHCo,Thu Oct 12 16:33:15 +0000 2017
thread_1025706,1,customer,Can I use @115877 for the @11342 in Braintree??? 🤔🤔🤔😒,Sun Oct 22 19:34:21 +0000 2017
thread_1025706,2,brand,"@362698 Hello, Lance! UberEats isn't available near Braintree right now. But we're continuing to expand so check back soon.",Mon Oct 23 00:08:39 +0000 2017
thread_1027044,1,customer,"@45054 @115877 food order from Archies Oxford Rd Manchester, cold upon delivery! I've tried to ring, no answer....",Sun Oct 22 20:07:58 +0000 2017
thread_1027044,2,brand,@181831 Sorry to hear about this! Send us a DM with your email address so we can take a look.,Mon Oct 23 00:31:22 +0000 2017
thread_1029734,1,customer,How do I get one of the Uber emblems for my car @141483,Thu Oct 12 18:00:17 +0000 2017
thread_1029734,2,brand,@178145 We're happy to explain. Visit this page: https://t.co/pgSGjGM4Gx to order your Uber decal.,Thu Oct 12 18:03:46 +0000 2017
thread_1030195,1,customer,@115873 Uber just charged me $6 for a trip I never requested.They wouldn't cancel the charge so I canceled Uber. Great business practice. Bye.,Mon Oct 23 04:21:05 +0000 2017
thread_1030195,2,brand,@363745 We can definitely follow up! Send us a note here; https://t.co/dInR3racif  so our team can connect.,Mon Oct 23 04:26:23 +0000 2017
thread_1030212,1,customer,Having trouble booking rides for 4+ family members!! Suggestions @115873 !!!,Mon Oct 23 04:08:46 +0000 2017
thread_1030212,2,brand,@363750 We're here to help! Send us a DM with your email address and additional details so we can assist.,Mon Oct 23 04:16:16 +0000 2017
thread_1031608,1,customer,@115877 This is unacceptable at all. Why am I waiting so long for a 20-30 min delivery? https://t.co/ihB0Ij22TX,Sun Oct 22 23:25:49 +0000 2017
thread_1031608,2,brand,@364100 Please DM us your email and order details so we can assist further.,Mon Oct 23 04:50:24 +0000 2017
thread_1031912,1,customer,"@Uber_Support
 I've been waiting to be approved to be a uber eats driver for a couple months now. Im confused why I haven't been approved.",Sun Oct 22 23:31:04 +0000 2017
thread_1031912,2,brand,@364166 We have replied to your DM please follow up there.,Mon Oct 23 05:13:23 +0000 2017
thread_1035607,1,customer,@Uber_Support https://t.co/vwvPxEXcEE,Sun Oct 22 20:50:09 +0000 2017
thread_1035607,2,brand,@364956 Can you please send us a DM with the email on your account so we can take a look?  We're happy to help.,Mon Oct 23 01:15:15 +0000 2017
thread_1035747,1,customer,Terrible @115873 experience I  Boston! I'm late to a wedding. I am not pleased.,Sat Oct 14 18:11:12 +0000 2017
thread_1035747,2,brand,@158675 Hi there! It seems a member of our team has reached out to you. Please check your email and follow up with them there.,Sat Oct 14 18:41:14 +0000 2017
thread_1036010,1,customer,wtf? @Uber_Support a promo code was emailed to me and when i keyed it in i wasn’t allowed to use it,Mon Oct 23 01:33:27 +0000 2017
thread_1036010,2,brand,@365055 Here to help. Send us a note at https://t.co/lqVgKo4ZO3 so our team can connect.,Mon Oct 23 01:37:54 +0000 2017
